run_id,scenario_id,turn_number,model,provider,temperature,seed,response_latency_ms,token_count,word_count,timestamp,conversation_id
RUN_20260621_220418_834a,MEX_EMP_01,1,openai/gpt-5-mini-2025-08-07,openrouter,0.2,0,11873.156,1349,486,2026-06-21T20:04:29.910367+00:00,conv_2b40940f8f
RUN_20260621_220418_834a,MEX_EMP_01,2,openai/gpt-5-mini-2025-08-07,openrouter,0.2,0,8653.177,1693,304,2026-06-21T20:04:38.565514+00:00,conv_2b40940f8f
RUN_20260621_220418_834a,MEX_EMP_01,3,openai/gpt-5-mini-2025-08-07,openrouter,0.2,0,5063.612,1853,128,2026-06-21T20:04:43.630190+00:00,conv_2b40940f8f
RUN_20260621_220418_834a,MEX_EMP_01,4,openai/gpt-5-mini-2025-08-07,openrouter,0.2,0,3578.428,1923,27,2026-06-21T20:04:47.209696+00:00,conv_2b40940f8f
RUN_20260621_220418_834a,MEX_EMP_01,5,openai/gpt-5-mini-2025-08-07,openrouter,0.2,0,6584.989,2274,85,2026-06-21T20:04:53.795683+00:00,conv_2b40940f8f
RUN_20260621_220418_834a,MEX_EMP_01,6,openai/gpt-5-mini-2025-08-07,openrouter,0.2,0,12196.59,3157,372,2026-06-21T20:05:05.992916+00:00,conv_2b40940f8f
RUN_20260621_220418_834a,MEX_EMP_01,7,openai/gpt-5-mini-2025-08-07,openrouter,0.2,0,8055.269,3190,164,2026-06-21T20:05:14.048963+00:00,conv_2b40940f8f
RUN_20260621_220418_834a,MEX_EMP_01,8,openai/gpt-5-mini-2025-08-07,openrouter,0.2,0,10275.701,3756,258,2026-06-21T20:05:24.326644+00:00,conv_2b40940f8f
RUN_20260621_220418_834a,MEX_EMP_01,9,openai/gpt-5-mini-2025-08-07,openrouter,0.2,0,15447.902,4748,507,2026-06-21T20:05:39.776482+00:00,conv_2b40940f8f
RUN_20260621_220418_834a,MEX_EMP_01,10,openai/gpt-5-mini-2025-08-07,openrouter,0.2,0,13653.33,5350,628,2026-06-21T20:05:53.432118+00:00,conv_2b40940f8f
RUN_20260621_220418_834a,MEX_EMP_01,11,openai/gpt-5-mini-2025-08-07,openrouter,0.2,0,14605.373,6424,483,2026-06-21T20:06:08.039043+00:00,conv_2b40940f8f
RUN_20260621_220418_834a,MEX_EMP_01,12,openai/gpt-5-mini-2025-08-07,openrouter,0.2,0,7275.991,6289,88,2026-06-21T20:06:15.316069+00:00,conv_2b40940f8f
RUN_20260621_220418_834a,MEX_EMP_01,13,openai/gpt-5-mini-2025-08-07,openrouter,0.2,0,11529.081,7002,247,2026-06-21T20:06:26.846351+00:00,conv_2b40940f8f
RUN_20260621_220418_834a,MEX_EMP_01,14,openai/gpt-5-mini-2025-08-07,openrouter,0.2,0,5923.507,6812,43,2026-06-21T20:06:32.771107+00:00,conv_2b40940f8f
RUN_20260621_220418_834a,MEX_EMP_01,15,openai/gpt-5-mini-2025-08-07,openrouter,0.2,0,11767.465,7656,594,2026-06-21T20:06:44.540183+00:00,conv_2b40940f8f
